,tokyo_pref,subj_id,stimulus,phoneme,pitch,speaker,use_semitone,use_duration,use_transition,use_pi,tokyo_kinki_ratio,n_success,pred
0,0,7,esko-L_H-2,esko,L_H,2,True,True,True,True,-0.5,False,H1L1H2
0,0,7,esko-L_H-3,esko,L_H,3,True,True,True,True,-0.5,False,H1L1H2
0,0,7,etsto-H_L-1,etsto,H_L,1,True,True,True,True,-0.5,False,H1L1H2
0,0,7,etsto-H_L-2,etsto,H_L,2,True,True,True,True,-0.5,False,H1L1H2
0,0,7,etsto-H_L-3,etsto,H_L,3,True,True,True,True,-0.5,False,H2L1H2L1
0,0,7,etsto-L_H-1,etsto,L_H,1,True,True,True,True,-0.5,False,H1L1H2
0,0,7,etsto-L_H-2,etsto,L_H,2,True,True,True,True,-0.5,False,H1L1H2
0,0,7,etsto-L_H-3,etsto,L_H,3,True,True,True,True,-0.5,False,H2L1H1L1
0,1,8,esko-H_L-1,esko,H_L,1,True,True,True,True,-0.5,True,H1L2
0,1,8,esko-H_L-2,esko,H_L,2,True,True,True,True,-0.5,True,H1L2
0,1,8,esko-H_L-3,esko,H_L,3,True,True,True,True,-0.5,True,H1L2
0,1,8,esko-L_H-1,esko,L_H,1,True,True,True,True,-0.5,True,L1H2
0,1,8,esko-L_H-2,esko,L_H,2,True,True,True,True,-0.5,True,L1H2
0,1,8,esko-L_H-3,esko,L_H,3,True,True,True,True,-0.5,True,L1H2
0,1,8,etsto-H_L-1,etsto,H_L,1,True,True,True,True,-0.5,True,H1L2
0,1,8,etsto-H_L-2,etsto,H_L,2,True,True,True,True,-0.5,True,H1L2
0,-1,8,etsto-H_L-3,etsto,H_L,3,True,True,True,True,-0.5,True,H2L1
0,0,8,etsto-L_H-1,etsto,L_H,1,True,True,True,True,-0.5,False,L1H2L1
0,1,8,etsto-L_H-2,etsto,L_H,2,True,True,True,True,-0.5,True,L1H2
0,0,8,etsto-L_H-3,etsto,L_H,3,True,True,True,True,-0.5,False,L2H1L2
0,1,9,esko-H_L-1,esko,H_L,1,True,True,True,True,-0.5,True,H1L2
